15 116
1 2 24
1 3 55
1 5 5
1 6 93
1 7 74
1 8 36
1 9 10
1 10 66
1 13 7
1 15 76
2 1 7
2 3 95
2 14 62
2 15 13
3 1 35
3 2 47
3 5 68
3 11 87
3 12 25
3 14 11
3 15 69
4 6 51
4 8 63
4 9 52
4 10 5
4 11 94
4 13 9
4 15 68
5 1 33
5 3 20
5 7 49
5 8 44
5 9 28
5 10 94
5 12 24
5 13 15
5 14 66
6 1 87
6 4 22
6 7 87
6 9 16
6 11 28
6 12 44
6 13 64
6 15 32
7 1 100
7 5 88
7 6 1
7 8 84
7 11 61
7 13 77
7 14 62
8 1 53
8 4 53
8 5 76
8 7 84
8 9 44
8 11 52
8 12 85
8 13 75
8 15 88
9 1 1
9 4 64
9 5 29
9 6 96
9 8 27
9 10 25
9 11 62
9 13 100
10 1 36
10 4 77
10 5 8
10 9 22
10 11 21
10 12 46
10 13 74
10 15 75
11 3 15
11 4 74
11 6 39
11 7 61
11 8 31
11 9 82
11 10 44
11 15 20
12 3 36
12 5 37
12 6 66
12 8 96
12 10 66
12 13 31
12 14 16
13 1 65
13 4 67
13 5 69
13 6 31
13 7 46
13 8 81
13 9 99
13 10 38
13 12 95
14 2 12
14 3 51
14 5 16
14 7 24
14 12 93
14 15 73
15 1 79
15 2 39
15 3 9
15 4 70
15 6 11
15 8 58
15 10 75
15 11 93
15 14 72
